"","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"657","Spain","Mediocampo","-MC-",170,68,"Xavi","Hernández",1980-01-24 19:00:00,13,"M(C)","Midfielder (Center)","Xavi",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"442","Italy","Mediocampo","-MC-",177,68,"Andrea","Pirlo",1979-05-18 19:00:00,5,"M(C)","Midfielder (Center)","Andrea Pirlo",35,1,0,0,0,0,0,0,0,87,81,0,1,1,1,1,0,0,0,1,1,0,0,1,0,3,0,0,0,3,1,10,10,1,1
"661","Spain","Arquero","-GK-",185,84,"Iker","Casillas",1981-05-19 19:00:00,17,"GK","Goalkeeper","Iker Casillas",33,1,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0
"507","Mexico","Defensa","-DC-",183,76,"Rafael","Márquez",1979-02-12 19:00:00,1,"D(C)","Defender (Center)","Rafael Márquez",35,1,0,0,0,0,0,0,0,33,23,0,4,4,4,0,1,2,0,0,0,1,0,1,1,2,0,1,0,0,0,8,5,0,0
"376","Greece","Mediocampo","-AMC-",176,74,"Giorgos","Karagounis",1977-03-05 19:00:00,8,"AM(C)","Attacking Midfielder (Center)","Giorgos Karagounis",37,0,1,0,0,0,0,0,0,13,8,0,0,3,1,0,0,0,1,0,0,1,0,3,1,3,0,2,1,5,3,4,1,0,0
"664","Spain","Arquero","-GK-",187,85,"José","Reina",1982-08-30 19:00:00,20,"GK","Goalkeeper","José Reina",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243","Croatia","Arquero","-GK-",193,82,"Stipe","Pletikosa",1979-01-07 19:00:00,13,"GK","Goalkeeper","Stipe Pletikosa",35,1,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
"447","Italy","Arquero","-GK-",191,83,"Gianluigi","Buffon",1978-01-27 19:00:00,10,"GK","Goalkeeper","Gianluigi Buffon",36,1,0,0,0,0,0,0,0,17,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"268","Ecuador","Mediocampo",NA,175,68,"Édison","Méndez",1979-03-15 19:00:00,15,"M","Midfielder","Édison Méndez",35,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
"723","USA","Delantero",NA,173,70,"DaMarcus","Beasley",1982-05-23 19:00:00,10,"FW","Forward","DaMarcus Beasley",32,1,0,0,0,0,0,0,0,45,40,1,0,0,1,0,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"236","Croatia","Delantero","-AML-FW-",182,85,"Ivica","Olic",1979-09-13 19:00:00,6,"AM(L),FW","Attacking Midfielder (Left) / Forward","Ivica Olic",34,1,0,1,0,0,0,1,0,15,12,0,2,3,1,0,0,1,3,2,1,0,0,1,0,0,0,1,2,4,0,0,0,0,0
"704","Uruguay","Delantero","-AML-FW-",180,75,"Diego","Forlán",1979-05-18 19:00:00,14,"AM(L),FW","Attacking Midfielder (Left) / Forward","Diego Forlán",35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"554","Nigeria","Arquero","-GK-",182,85,"Vincent","Enyeama",1982-08-28 19:00:00,2,"GK","Goalkeeper","Vincent Enyeama",31,1,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0
"569","Nigeria","Arquero",NA,190,90,"Austin","Ejide",1984-04-07 18:00:00,17,"GK","Goalkeeper","Austin Ejide",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255","Ecuador","Mediocampo",NA,171,68,"Walter","Ayoví",1979-08-10 19:00:00,2,"M","Midfielder","Walter Ayoví",34,1,0,0,0,0,0,0,1,38,37,2,0,0,1,0,0,6,1,1,0,1,0,2,0,0,0,0,1,9,2,1,0,0,0
"608","Russia","Delantero","-FW-",176,63,"Alexander","Kerzhakov",1982-11-26 19:00:00,10,"FW","Forward","Alexander Kerzhakov",31,0,1,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","Ivory Coast","Defensa","-DC-",183,74,"Kolo","Touré",1981-03-18 19:00:00,20,"D(C)","Defender (Center)","Kolo Touré",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277","England","Delantero","-AMC-AML-FW-",178,78,"Wayne","Rooney",1985-10-23 19:00:00,1,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Wayne Rooney",28,1,0,0,0,0,0,1,0,35,26,3,3,0,0,2,0,1,0,4,2,0,0,2,3,4,0,4,0,5,1,5,3,0,0
"656","Spain","Delantero","-FW-",186,81,"Fernando","Torres",1984-03-19 19:00:00,12,"FW","Forward","Fernando Torres",30,0,1,0,0,0,0,0,0,17,11,5,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"53","Australia","Mediocampo","-MC-",182,73,"Mark","Bresciano",1980-02-10 19:00:00,7,"M(C)","Midfielder (Center)","Mark Bresciano",34,1,0,1,0,0,0,0,0,27,23,1,0,0,1,1,0,0,0,2,0,0,0,0,3,2,0,2,3,1,0,1,1,0,0
"530","Netherlands","Mediocampo","-AML-AMR-FW-",180,80,"Arjen","Robben",1984-01-22 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Arjen Robben",30,1,0,0,0,0,0,1,0,20,16,1,5,0,0,2,0,0,0,4,3,0,0,2,2,2,0,0,3,2,1,1,0,0,0
"468","Ivory Coast","Mediocampo","-DMC-",179,72,"Didier","Zokora",1980-12-13 19:00:00,8,"DM(C)","Defensive Midfielder (Center)","Didier Zokora",33,1,0,0,1,0,0,0,0,49,45,2,0,0,2,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0
"378","Greece","Mediocampo","-DC-DMC-",183,81,"Konstantinos","Katsouranis",1979-06-20 19:00:00,10,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Konstantinos Katsouranis",34,1,0,0,0,1,1,0,0,14,10,0,1,-1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"599","Russia","Defensa","-DC-",186,84,"Sergei","Ignashevitch",1979-07-13 19:00:00,1,"D(C)","Defender (Center)","Sergei Ignashevitch",34,1,0,0,0,0,0,0,0,41,33,3,1,4,1,0,3,17,2,1,0,3,0,1,0,1,0,0,0,0,0,7,5,0,0
"471","Ivory Coast","Delantero","-FW-",188,84,"Didier","Drogba",1978-03-10 19:00:00,11,"FW","Forward","Didier Drogba",36,0,1,0,0,0,0,0,0,6,3,1,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
"35","Argentina","Mediocampo","-AMC-AML-AMR-",180,75,"Maximiliano","Rodríguez",1981-01-01 19:00:00,12,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Maxi Rodríguez",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
"297","England","Mediocampo","-MC-ML-MR-",175,70,"James","Milner",1986-01-03 19:00:00,21,"M(CLR)","Midfielder (Center, Left, Right)","James Milner",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"649","Spain","Mediocampo","-MC-ML-MR-",168,66,"Santiago","Cazorla",1984-12-12 19:00:00,5,"M(CLR)","Midfielder (Center, Left, Right)","Santiago Cazorla",29,0,1,0,0,0,0,0,0,15,14,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,4,2,1,1,0,0
"319","France","Arquero","-GK-",184,80,"Mickaël","Landreau",1979-05-13 19:00:00,20,"GK","Goalkeeper","Mickaël Landreau",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"531","Netherlands","Delantero","-FW-",183,71,"Robin","van Persie",1983-08-05 19:00:00,2,"FW","Forward","Robin van Persie",30,1,0,1,1,0,0,1,0,13,5,5,5,0,0,4,0,4,1,4,3,0,0,1,0,3,1,3,2,1,0,0,0,0,0
"336","Germany","Mediocampo","-MC-",183,79,"Bastian","Schweinsteiger",1984-07-31 19:00:00,14,"M(C)","Midfielder (Center)","Bastian Schweinsteiger",29,0,1,0,0,0,0,0,0,25,22,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0
"280","England","Defensa","-DL-DR-MR-",178,70,"Glen","Johnson",1984-08-22 19:00:00,4,"D(LR),M(R)","Defender (Left, Right) / Midfielder (Right)","Glen Johnson",29,1,0,0,0,0,0,0,1,59,49,2,3,2,0,0,0,3,1,0,0,0,0,3,1,1,0,2,1,3,0,7,4,0,0
"534","Netherlands","Mediocampo","-DMC-",174,72,"Nigel","de Jong",1984-11-29 19:00:00,5,"DM(C)","Defensive Midfielder (Center)","Nigel de Jong",29,1,0,0,0,0,0,0,0,38,30,1,2,4,3,2,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,7,5,0,0
"449","Italy","Mediocampo","-DMC-",187,83,"Thiago","Motta",1982-08-27 19:00:00,12,"DM(C)","Defensive Midfielder (Center)","Thiago Motta",31,1,0,1,0,0,0,0,0,34,34,1,0,0,3,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,0,2,2,1,1
"137","Brazil","Defensa","-DL-DMC-",176,73,"Maxwell","Cabelino Andrade",1981-08-26 19:00:00,22,"D(L),DM(C)","Defender (Left) / Defensive Midfielder (Center)","Maxwell",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"372","Greece","Delantero","-AML-FW-",193,82,"Georgios","Samaras",1985-02-20 19:00:00,4,"AM(L),FW","Attacking Midfielder (Left) / Forward","Georgios Samaras",29,1,0,0,1,0,0,0,0,13,10,3,3,4,0,3,0,0,2,2,0,0,0,1,0,7,0,2,2,1,0,1,1,0,0
"536","Netherlands","Mediocampo","-AMC-AML-",170,67,"Wesley","Sneijder",1984-06-08 19:00:00,7,"AM(CL)","Attacking Midfielder (Center, Left)","Wesley Sneijder",30,1,0,0,0,0,0,0,0,53,40,0,1,1,0,2,0,0,3,2,0,0,0,2,0,0,0,0,0,4,2,8,2,0,0
"652","Spain","Mediocampo","-DMC-",183,77,"Xabi","Alonso",1981-11-24 19:00:00,8,"DM(C)","Defensive Midfielder (Center)","Xabi Alonso",32,1,0,1,1,0,0,0,0,36,31,1,0,2,1,2,0,0,0,2,1,0,0,0,0,0,1,0,1,3,0,5,4,0,0
"30","Argentina","Defensa","-DC-",181,85,"Hugo","Campagnaro",1980-06-26 19:00:00,7,"D(C)","Defender (Center)","Hugo Campagnaro",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"443","Italy","Mediocampo","-DC-DMC-",184,83,"Daniele","De Rossi",1983-07-23 19:00:00,6,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Daniele De Rossi",30,1,0,0,0,0,0,0,0,107,96,1,2,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,7,5,0,0
"714","USA","Mediocampo","-DMC-",184,81,"Jermaine","Jones",1981-11-02 19:00:00,1,"DM(C)","Defensive Midfielder (Center)","Jermaine Jones",32,1,0,0,1,0,0,1,0,47,36,2,0,0,3,2,0,1,0,3,2,0,0,2,4,2,0,0,1,0,0,7,5,0,0
"344","Germany","Arquero","-GK-",188,85,"Roman","Weidenfeller",1980-08-05 19:00:00,22,"GK","Goalkeeper","Roman Weidenfeller",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"586","Portugal","Delantero","-FW-",180,76,"Hélder","Postiga",1982-08-01 19:00:00,11,"FW","Forward","Hélder Postiga",31,1,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Germany","Defensa","-DL-DMC-DR-",170,66,"Philipp","Lahm",1983-11-10 19:00:00,12,"D(LR),DM(C)","Defender (Left, Right) / Defensive Midfielder (Center)","Philipp Lahm",30,1,0,0,0,0,0,0,0,85,74,0,0,1,2,0,1,2,0,0,0,1,0,1,1,2,0,0,2,0,0,4,4,1,0
"717","USA","Arquero","-GK-",187,88,"Tim","Howard",1979-03-05 19:00:00,4,"GK","Goalkeeper","Tim Howard",35,1,0,0,0,0,0,0,0,11,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
"577","Portugal","Delantero","-AML-AMR-FW-",185,80,"Cristiano","Ronaldo",1985-02-04 19:00:00,2,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Cristiano Ronaldo",29,1,0,0,0,0,0,0,1,34,25,2,1,1,3,1,0,0,0,7,1,0,0,2,3,3,3,1,2,1,1,1,1,0,0
"191","Colombia","Defensa","-DC-",186,83,"Mario","Yepes",1976-01-12 19:00:00,7,"D(C)","Defender (Center)","Mario Yepes",38,1,0,0,0,0,0,0,0,25,22,0,1,1,2,0,1,6,2,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
"176","Chile","Delantero","-FW-",187,78,"Mauricio","Pinilla",1984-02-03 19:00:00,15,"FW","Forward","Mauricio Pinilla",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Brazil","Defensa","-DC-DR-",173,64,"Daniel","Alves da Silva",1983-05-05 19:00:00,5,"D(CR)","Defender (Center, Right)","Dani Alves",31,1,0,0,0,0,0,0,0,47,40,1,0,1,1,2,0,3,1,0,0,0,0,2,1,2,0,0,1,5,1,6,5,1,1
"45","Argentina","Defensa","-DC-DMC-",184,80,"Martín","Demichelis",1980-12-19 19:00:00,22,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Martín Demichelis",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Cameroon","Mediocampo","-DMC-",170,69,"Jean","Makoun",1983-05-28 19:00:00,20,"DM(C)","Defensive Midfielder (Center)","Jean Makoun",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Germany","Delantero","-AMC-AML-FW-",182,83,"Lukas","Podolski",1985-06-03 19:00:00,16,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Lukas Podolski",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441","Italy","Defensa","-DC-",186,79,"Andrea","Barzagli",1981-05-07 19:00:00,4,"D(C)","Defender (Center)","Andrea Barzagli",33,1,0,0,0,0,0,0,0,79,77,1,2,1,3,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,7,6,0,0
"99","Bosnia-Herzegovina","Mediocampo","-AMC-",180,79,"Zvjezdan","Misimovic",1982-06-04 19:00:00,7,"AM(C)","Attacking Midfielder (Center)","Zvjezdan Misimovic",32,1,0,0,0,0,0,0,0,52,46,1,0,1,0,0,0,0,1,2,0,0,0,2,3,0,0,3,2,5,1,2,0,0,0
"283","England","Defensa","-DC-DR-",183,83,"Phil","Jagielka",1982-08-16 19:00:00,7,"D(CR)","Defender (Center, Right)","Phil Jagielka",31,1,0,0,0,0,0,0,0,41,37,4,4,2,1,0,1,12,1,1,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0
"47","Australia","Mediocampo","-AMC-FW-",178,69,"Tim","Cahill",1979-12-05 19:00:00,1,"AM(C),FW","Attacking Midfielder (Center) / Forward","Tim Cahill",34,1,0,1,1,0,0,1,0,19,15,2,3,0,1,3,0,0,0,2,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
"348","Ghana","Mediocampo","-DMC-ML-",179,76,"Sulley Ali","Muntari",1984-08-26 19:00:00,3,"DM(C),M(L)","Defensive Midfielder (Center) / Midfielder (Left)","Sulley Ali Muntari",29,1,0,0,1,0,0,0,1,49,35,0,1,1,1,4,0,3,3,4,1,0,0,3,0,3,0,2,0,1,0,9,7,1,1
"314","France","Mediocampo","-DMC-",172,64,"Rio","Mavuba",1984-03-07 19:00:00,15,"DM(C)","Defensive Midfielder (Center)","Rio Mavuba",30,0,0,0,0,0,0,0,0,1,2,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"331","Germany","Defensa","-DC-",198,90,"Per","Mertesacker",1984-09-28 19:00:00,9,"D(C)","Defender (Center)","Per Mertesacker",29,1,0,0,0,0,0,0,0,66,64,5,2,1,2,0,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0
"663","Spain","Delantero","-AML-AMR-FW-",175,69,"David","Villa",1981-12-02 19:00:00,19,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","David Villa",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"305","France","Defensa","-DL-",173,76,"Patrice","Evra",1981-05-14 19:00:00,6,"D(L)","Defender (Left)","Patrice Evra",33,1,0,0,0,0,0,0,0,31,25,2,0,4,2,0,0,2,0,1,0,0,0,0,1,0,0,1,1,2,1,2,1,0,0
"132","Brazil","Defensa","-DC-",188,87,"Dante Bonfim","Costa Santos",1983-10-17 19:00:00,17,"D(C)","Defender (Center)","Dante",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","Croatia","Mediocampo","-DR-",182,78,"Darijo","Srna",1982-04-30 19:00:00,5,"D(R)","Defender (Right)","Darijo Srna",32,1,0,0,0,0,0,0,0,37,30,1,2,3,2,1,0,3,1,3,0,0,0,1,0,1,0,2,0,7,1,7,4,1,0
"607","Russia","Mediocampo","-AMR-",178,74,"Aleksandr","Samedov",1984-07-18 19:00:00,9,"AM(R)","Attacking Midfielder (Right)","Aleksandr Samedov",29,1,0,1,0,0,0,0,0,35,26,2,2,2,2,0,0,0,1,0,0,0,0,1,0,1,0,2,2,7,0,1,0,0,0
"610","Russia","Mediocampo","-DMC-",176,70,"Igor","Denisov",1984-05-16 19:00:00,12,"DM(C)","Defensive Midfielder (Center)","Igor Denisov",30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"614","Russia","Mediocampo","-DL-MC-ML-",178,75,"Yuri","Zhirkov",1983-08-19 19:00:00,16,"D(L),M(CL)","Defender (Left) / Midfielder (Center, Left)","Yuri Zhirkov",30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","Croatia","Delantero","-AML-FW-",177,72,"Eduardo","da Silva",1983-02-24 19:00:00,16,"AM(L),FW","Attacking Midfielder (Left) / Forward","Eduardo",31,0,1,0,1,0,0,0,0,7,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0
"26","Argentina","Defensa","-DC-DMC-",174,74,"Javier","Mascherano",1984-06-07 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Javier Mascherano",30,1,0,0,0,0,0,0,0,100,92,2,3,6,0,0,0,0,3,0,0,1,0,2,0,2,0,0,0,0,0,22,21,0,0
"545","Netherlands","Mediocampo","-AMC-AML-AMR-FW-",184,77,"Dirk","Kuyt",1980-07-21 19:00:00,16,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Dirk Kuyt",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"710","Uruguay","Mediocampo","-DMC-",178,80,"Diego","Pérez",1980-05-17 19:00:00,20,"DM(C)","Defensive Midfielder (Center)","Diego Pérez",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"559","Nigeria","Delantero","-AML-AMR-FW-",182,75,"Peter","Odemwingie",1981-07-14 19:00:00,7,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Peter Odemwingie",32,1,0,0,0,0,0,1,0,49,46,0,1,5,1,2,0,3,2,4,1,0,0,1,2,0,0,1,1,1,1,2,2,0,0
"95","Bosnia-Herzegovina","Defensa","-DC-",186,77,"Emir","Spahic",1980-08-17 19:00:00,3,"D(C)","Defender (Center)","Emir Spahic",33,1,0,0,0,0,0,0,0,42,34,1,1,4,3,0,2,5,4,1,0,2,0,0,0,1,0,0,0,0,0,4,3,0,0
"136","Brazil","Defensa","-DR-",184,77,"Maicon Douglas","Sisenando",1981-07-25 19:00:00,21,"D(R)","Defender (Right)","Maicon",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"547","Netherlands","Delantero","-AMR-FW-",186,78,"Klaas-Jan","Huntelaar",1983-08-11 19:00:00,18,"AM(R),FW","Attacking Midfielder (Right) / Forward","Klaas-Jan Huntelaar",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470","Ivory Coast","Delantero","-AML-AMR-FW-",184,77,"Salomon","Kalou",1985-08-04 19:00:00,10,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Salomon Kalou",28,0,1,0,0,0,0,0,0,8,7,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"108","Bosnia-Herzegovina","Mediocampo","-DL-MC-ML-",182,79,"Sejad","Salihovic",1984-10-07 19:00:00,16,"D(L),M(CL)","Defender (Left) / Midfielder (Center, Left)","Sejad Salihovic",29,0,1,0,0,0,0,0,0,14,11,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0
"655","Spain","Mediocampo","-FW-MC-ML-MR-",175,74,"Francesc","Fábregas",1987-05-03 19:00:00,11,"M(CLR),FW","Midfielder (Center, Left, Right) / Forward","Francesc Fábregas",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"284","England","Defensa","-DL-",170,74,"Leighton","Baines",1984-12-10 19:00:00,8,"D(L)","Defender (Left)","Leighton Baines",29,1,0,0,0,0,0,0,0,46,37,0,1,1,0,2,0,2,0,0,0,0,0,3,2,1,0,4,1,8,2,2,1,0,0
