"","PlayerId","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"82",4282,"Greece","Midfielder","-DC-DMC-",183,81,"Konstantinos","Katsouranis",1979-06-20 19:00:00,13,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Konstantinos Katsouranis",35,0,1,0,0,0,0,0,0,38,34,0,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,1,1,1,11,9,1,0
"195",4445,"Argentina","Midfielder","-AMC-AML-AMR-",180,75,"Maximiliano","Rodríguez",1981-01-01 19:00:00,11,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Maxi Rodríguez",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",4563,"France","Goalkeeper","-GK-",184,80,"Mickaël","Landreau",1979-05-13 19:00:00,21,"GK","Goalkeeper","Mickaël Landreau",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",4564,"Netherlands","Forward","-FW-",183,71,"Robin","van Persie",1983-08-05 19:00:00,2,"FW","Forward","Robin van Persie",30,1,0,1,0,0,0,0,0,19,13,2,0,0,0,1,0,0,0,1,0,0,0,0,4,2,0,1,0,1,0,2,2,0,0
"149",4567,"Germany","Midfielder","-MC-",183,79,"Bastian","Schweinsteiger",1984-07-31 19:00:00,11,"M(C)","Midfielder (Center)","Bastian Schweinsteiger",29,1,0,1,0,0,0,0,0,101,93,2,0,1,1,3,0,1,2,3,2,0,0,3,0,2,0,6,1,1,0,2,2,2,1
"10",4608,"Netherlands","Midfielder","-DMC-",174,72,"Nigel","de Jong",1984-11-29 19:00:00,10,"DM(C)","Defensive Midfielder (Center)","Nigel de Jong",29,1,0,1,0,0,0,0,0,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"70",4921,"Greece","Forward","-AML-FW-",193,82,"Georgios","Samaras",1985-02-20 19:00:00,1,"AM(L),FW","Attacking Midfielder (Left) / Forward","Georgios Samaras",29,1,0,0,0,0,0,0,0,37,30,6,1,0,1,1,0,1,1,2,1,0,0,1,3,3,2,4,4,3,0,1,1,0,0
"11",4923,"Netherlands","Midfielder","-AMC-AML-",170,67,"Wesley","Sneijder",1984-06-08 19:00:00,11,"AM(CL)","Attacking Midfielder (Center, Left)","Wesley Sneijder",30,1,0,0,0,0,0,1,0,53,45,0,2,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,1,4,0,7,7,0,0
"193",5070,"Argentina","Defender","-DC-",181,85,"Hugo","Campagnaro",1980-06-26 19:00:00,9,"D(C)","Defender (Center)","Hugo Campagnaro",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",5480,"USA","Midfielder","-DMC-",184,81,"Jermaine","Jones",1981-11-02 19:00:00,3,"DM(C)","Defensive Midfielder (Center)","Jermaine Jones",32,1,0,0,0,0,0,0,0,39,27,4,7,1,1,1,0,4,3,7,0,0,0,2,1,3,0,1,4,3,1,4,2,1,1
"160",5490,"Germany","Goalkeeper","-GK-",188,85,"Roman","Weidenfeller",1980-08-05 19:00:00,22,"GK","Goalkeeper","Roman Weidenfeller",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",5570,"Germany","Defender","-DL-DMC-DR-",170,66,"Philipp","Lahm",1983-11-10 19:00:00,9,"D(LR),DM(C)","Defender (Left, Right) / Defensive Midfielder (Center)","Philipp Lahm",30,1,0,0,1,0,0,0,0,97,87,0,0,4,1,1,2,3,2,2,1,1,0,2,0,0,0,2,1,0,0,2,2,1,0
"255",5582,"USA","Goalkeeper","-GK-",187,88,"Tim","Howard",1979-03-05 19:00:00,2,"GK","Goalkeeper","Tim Howard",35,1,0,0,0,0,0,0,0,25,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0
"207",5840,"Argentina","Defender","-DC-DMC-",184,80,"Martín","Demichelis",1980-12-19 19:00:00,23,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Martín Demichelis",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",6040,"Germany","Forward","-AMC-AML-FW-",182,83,"Lukas","Podolski",1985-06-03 19:00:00,16,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Lukas Podolski",29,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",6235,"France","Midfielder","-DMC-",172,64,"Rio","Mavuba",1984-03-07 19:00:00,19,"DM(C)","Defensive Midfielder (Center)","Rio Mavuba",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",6292,"Germany","Defender","-DC-",198,90,"Per","Mertesacker",1984-09-28 19:00:00,6,"D(C)","Defender (Center)","Per Mertesacker",29,1,0,0,0,0,0,0,0,91,81,4,1,1,2,1,0,10,0,0,0,0,0,0,0,3,0,0,1,0,0,4,1,0,0
"100",6410,"France","Defender","-DL-",173,76,"Patrice","Evra",1981-05-14 19:00:00,8,"D(L)","Defender (Left)","Patrice Evra",33,1,0,0,0,0,0,0,0,23,18,3,1,1,1,0,1,4,1,0,0,0,0,1,0,1,0,0,1,2,1,1,1,0,0
"187",7415,"Argentina","Defender","-DC-DMC-",174,74,"Javier","Mascherano",1984-06-07 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Javier Mascherano",30,1,0,0,0,0,0,0,0,93,85,0,0,4,2,3,0,0,0,2,0,1,0,1,0,4,0,0,0,2,0,13,11,0,0
"12",7516,"Netherlands","Midfielder","-AMC-AML-AMR-FW-",184,77,"Dirk","Kuyt",1980-07-21 19:00:00,12,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Dirk Kuyt",33,1,0,0,0,0,0,0,0,59,45,2,2,2,1,0,0,3,2,0,0,0,0,0,1,0,0,1,2,5,1,5,3,0,0
"122",7719,"Nigeria","Forward","-AML-AMR-FW-",182,75,"Peter","Odemwingie",1981-07-14 19:00:00,7,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Peter Odemwingie",32,1,0,0,0,0,0,0,0,36,29,1,3,1,0,3,0,1,2,2,1,0,0,1,3,3,0,1,2,8,1,5,4,0,0
"7",8013,"Netherlands","Forward","-AMR-FW-",186,78,"Klaas-Jan","Huntelaar",1983-08-11 19:00:00,7,"AM(R),FW","Attacking Midfielder (Right) / Forward","Klaas-Jan Huntelaar",30,0,1,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
"229",9719,"Switzerland","Midfielder","-AMC-AML-AMR-",178,68,"Tranquillo","Barnetta",1985-05-21 19:00:00,22,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Tranquillo Barnetta",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",10015,"Algeria","Midfielder","-DL-ML-",179,75,"Djamel","Mesbah",1984-10-08 19:00:00,8,"D(L),M(L)","Defender (Left) / Midfielder (Left)","Djamel Mesbah",29,0,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0
"240",10136,"Belgium","Defender","-DC-",190,85,"Vincent","Kompany",1986-04-09 18:00:00,10,"D(C)","Defender (Center)","Vincent Kompany",28,1,0,0,1,0,0,0,0,48,40,3,3,4,3,2,0,5,0,2,1,1,0,2,0,0,0,1,1,0,0,12,7,1,1
"246",10138,"Belgium","Defender","-DR-",185,78,"Anthony","Vanden Borre",1987-10-23 19:00:00,16,"D(R)","Defender (Right)","Anthony Vanden Borre",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",10209,"Belgium","Defender","-DC-DL-",180,75,"Thomas","Vermaelen",1985-11-13 19:00:00,19,"D(CL)","Defender (Center, Left)","Thomas Vermaelen",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",10464,"Switzerland","Defender","-DC-",183,76,"Steve","Von Bergen",1983-06-09 19:00:00,11,"D(C)","Defender (Center)","Steve Von Bergen",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",10478,"Mexico","Defender","-DC-",191,84,"Francisco Javier","Rodríguez",1981-10-19 19:00:00,3,"D(C)","Defender (Center)","Francisco Javier Rodríguez",32,1,0,0,0,0,0,0,0,41,30,1,3,1,2,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0
"89",10687,"Greece","Defender","-DC-DR-",184,76,"Loukas","Vyntra",1981-02-04 19:00:00,20,"D(CR)","Defender (Center, Right)","Loukas Vyntra",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",10714,"Switzerland","Goalkeeper","-GK-",194,89,"Diego","Benaglio",1983-09-07 19:00:00,2,"GK","Goalkeeper","Diego Benaglio",30,1,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,9,4,0,0
"227",10734,"Switzerland","Defender","-DL-ML-",183,79,"Reto","Ziegler",1986-01-15 19:00:00,20,"D(L),M(L)","Defender (Left) / Midfielder (Left)","Reto Ziegler",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",11119,"Argentina","Forward","-AMR-FW-",169,67,"Lionel","Messi",1987-06-23 19:00:00,1,"AM(R),FW","Attacking Midfielder (Right) / Forward","Lionel Messi",27,1,0,0,0,0,0,0,1,50,37,0,0,6,0,0,0,0,1,2,1,0,0,8,7,5,0,6,3,10,3,2,1,2,1
"225",11234,"Switzerland","Defender","-DC-",190,84,"Philippe","Senderos",1985-02-13 19:00:00,18,"D(C)","Defender (Center)","Philippe Senderos",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",11367,"France","Defender","-DR-",177,76,"Mathieu","Debuchy",1985-07-27 19:00:00,5,"D(R)","Defender (Right)","Mathieu Debuchy",28,1,0,0,0,0,0,0,0,29,25,1,1,2,2,1,0,4,0,2,0,1,0,0,1,1,0,1,2,3,0,4,2,0,0
"84",11549,"Greece","Forward","-AMR-",171,72,"Dimitrios","Salpingidis",1981-08-17 19:00:00,15,"AM(R)","Attacking Midfielder (Right)","Dimitrios Salpingidis",32,1,0,1,0,0,0,0,0,14,10,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
"83",11622,"Greece","Forward","-FW-",179,76,"Theofanis","Gekas",1980-05-22 19:00:00,14,"FW","Forward","Theofanis Gekas",34,0,1,0,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"81",11624,"Greece","Goalkeeper","-GK-",189,79,"Orestis","Karnezis",1985-07-10 19:00:00,12,"GK","Goalkeeper","Orestis Karnezis",28,1,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0
"215",11680,"Switzerland","Defender","-DC-DR-",191,87,"Johan","Djourou",1987-01-17 19:00:00,8,"D(CR)","Defender (Center, Right)","Johan Djourou",27,1,0,0,0,0,0,0,0,24,19,2,0,2,6,1,0,10,0,0,0,4,0,0,2,0,0,0,2,0,0,3,1,0,0
"241",12187,"Belgium","Midfielder","-FW-MC-MR-",185,82,"Mousa","Dembélé",1987-07-15 19:00:00,11,"M(CR),FW","Midfielder (Center, Right) / Forward","Mousa Dembélé",26,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",12376,"France","Midfielder","-MC-",175,71,"Yohan","Cabaye",1986-01-13 19:00:00,10,"M(C)","Midfielder (Center)","Yohan Cabaye",28,1,0,0,0,0,0,0,0,46,39,0,1,3,2,3,0,4,2,1,0,1,0,1,0,0,1,0,0,0,0,3,1,0,0
"219",12462,"Switzerland","Midfielder","-DMC-MR-",184,76,"Valon","Behrami",1985-04-18 18:00:00,12,"DM(C),M(R)","Defensive Midfielder (Center) / Midfielder (Right)","Valon Behrami",29,1,0,0,0,0,0,0,0,30,23,0,1,6,1,3,0,2,7,0,0,2,0,0,2,3,0,0,0,0,0,1,1,0,0
"148",13754,"Germany","Goalkeeper","-GK-",193,92,"Manuel","Neuer",1986-03-26 19:00:00,10,"GK","Goalkeeper","Manuel Neuer",28,1,0,0,0,0,0,0,0,33,25,1,0,0,0,0,0,4,0,0,0,0,0,0,-1,0,0,0,0,0,0,18,10,0,0
"142",13756,"Germany","Midfielder","-AMC-AML-AMR-",183,76,"Mesut","Özil",1988-10-14 19:00:00,4,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Mesut Özil",25,1,0,0,0,0,0,1,0,66,59,1,0,4,0,1,0,0,2,3,2,0,0,4,4,3,1,4,3,3,1,3,1,0,0
"151",13764,"Germany","Midfielder","-DMC-",189,85,"Sami","Khedira",1987-04-03 18:00:00,13,"DM(C)","Defensive Midfielder (Center)","Sami Khedira",27,0,1,0,0,0,0,0,0,41,37,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,1,1,1,1,0,0
"172",13817,"Algeria","Defender","-DC-",190,89,"Madjid","Bougherra",1982-10-06 19:00:00,11,"D(C)","Defender (Center)","Madjid Bougherra",31,0,1,0,0,0,0,0,0,15,13,0,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"53",14051,"Costa Rica","Forward","-AMC-AMR-",188,78,"Bryan","Ruiz",1985-08-17 19:00:00,7,"AM(CR)","Attacking Midfielder (Center, Right)","Bryan Ruiz",28,1,0,0,1,0,0,1,0,41,33,1,2,1,0,2,0,4,2,1,1,0,0,2,3,2,0,2,3,0,0,1,1,0,0
"190",14079,"Argentina","Defender","-DC-",185,80,"Ezequiel","Garay",1986-10-09 19:00:00,6,"D(C)","Defender (Center)","Ezequiel Garay",27,1,0,0,1,0,0,0,0,68,64,3,1,0,1,4,1,11,0,2,1,0,0,2,0,0,0,0,0,0,0,10,9,0,0
"9",14107,"Netherlands","Defender","-DC-",189,80,"Ron","Vlaar",1985-02-15 19:00:00,9,"D(C)","Defender (Center)","Ron Vlaar",29,1,0,0,0,0,0,0,0,37,37,4,0,1,2,1,1,10,3,1,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0
"192",14244,"Argentina","Defender","-DL-DR-",174,74,"Pablo","Zabaleta",1985-01-15 19:00:00,8,"D(LR)","Defender (Left, Right)","Pablo Zabaleta",29,1,0,0,0,0,0,0,0,50,45,1,0,6,3,0,0,3,1,0,0,0,0,2,0,0,0,0,0,4,2,4,3,0,0
"199",14260,"Argentina","Forward","-AMC-AML-FW-",173,70,"Sergio","Agüero",1988-06-01 19:00:00,15,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Sergio Agüero",26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",14296,"France","Forward","-AML-AMR-FW-",187,79,"Karim","Benzema",1987-12-18 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Karim Benzema",26,1,0,0,0,0,0,0,0,27,20,0,0,0,0,0,0,0,1,3,2,0,0,1,2,0,1,4,1,2,0,0,0,0,0
"170",14759,"Algeria","Defender","-DC-DMC-",184,78,"Carl","Medjani",1985-05-14 19:00:00,9,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Carl Medjani",29,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"220",14831,"Switzerland","Midfielder","-MC-",179,73,"Blerim","Dzemaili",1986-04-11 18:00:00,13,"M(C)","Midfielder (Center)","Blerim Dzemaili",28,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",14871,"Argentina","Forward","-AMC-AML-AMR-FW-",175,66,"Rodrigo","Palacio",1982-02-04 19:00:00,16,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Rodrigo Palacio",32,0,1,0,0,0,0,0,0,13,6,1,1,0,0,2,0,1,1,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0
"216",15302,"Switzerland","Defender","-DR-MR-",180,77,"Stephan","Lichtsteiner",1984-01-15 19:00:00,9,"D(R),M(R)","Defender (Right) / Midfielder (Right)","Stephan Lichtsteiner",30,1,0,0,0,0,0,0,0,28,19,0,0,0,0,1,1,7,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"212",15401,"Switzerland","Midfielder","-MC-",183,79,"Gökhan","Inler",1984-06-26 19:00:00,5,"M(C)","Midfielder (Center)","Gökhan Inler",30,1,0,0,0,0,0,0,0,51,38,0,1,5,1,3,0,5,2,1,0,1,0,3,4,1,0,4,2,4,1,4,1,0,0
"121",15464,"Nigeria","Midfielder","-DMC-",188,83,"John Obi","Mikel",1987-04-21 19:00:00,6,"DM(C)","Defensive Midfielder (Center)","John Obi Mikel",27,1,0,0,0,0,0,0,0,49,42,2,0,1,0,5,0,3,1,0,0,0,0,2,0,2,0,3,1,0,0,9,6,1,0
"244",15834,"Belgium","Midfielder","-AMC-AML-AMR-",179,68,"Kevin","Mirallas",1987-10-04 19:00:00,14,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Kevin Mirallas",26,0,1,0,0,0,0,0,0,13,11,0,2,0,0,3,0,0,0,2,2,0,0,3,4,0,0,3,1,6,3,1,1,0,0
"20",16243,"Netherlands","Defender","-DR-",178,72,"Paul","Verhaegh",1983-08-31 19:00:00,20,"D(R)","Defender (Right)","Paul Verhaegh",30,1,0,1,0,0,0,0,0,28,25,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"258",16369,"USA","Midfielder","-AMC-AML-AMR-FW-",186,78,"Clint","Dempsey",1983-03-08 19:00:00,5,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Clint Dempsey",31,1,0,0,0,0,0,0,0,41,34,1,5,0,0,2,0,6,-1,4,4,0,0,2,1,3,0,3,1,0,0,1,0,0,0
"35",16731,"Mexico","Defender","-DL-",176,72,"Carlos","Salcido",1980-04-01 18:00:00,12,"D(L)","Defender (Left)","Carlos Salcido",34,1,0,0,0,0,0,0,0,36,28,2,0,1,1,3,0,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"194",16844,"Argentina","Forward","-AMC-AML-AMR-FW-",173,75,"Ezequiel","Lavezzi",1985-05-02 19:00:00,10,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Ezequiel Lavezzi",29,1,0,1,0,0,0,0,0,26,19,2,1,0,0,1,0,0,1,2,1,0,0,1,2,4,1,3,0,5,0,2,2,0,0
"47",17455,"Costa Rica","Defender","-DL-",188,76,"Roy","Miller",1984-11-23 19:00:00,1,"D(L)","Defender (Left)","Roy Miller",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",17456,"Costa Rica","forward",NA,173,69,"Randall","Brenes",1983-08-12 19:00:00,15,"FW","Forward","Randall Brenes",30,0,1,0,0,0,0,0,0,9,7,0,1,1,1,3,0,2,1,1,0,0,0,1,0,1,0,1,0,2,1,0,0,0,0
"191",17651,"Argentina","Midfielder","-DMC-",178,73,"Fernando","Gago",1986-04-09 18:00:00,7,"DM(C)","Defensive Midfielder (Center)","Fernando Gago",28,1,0,1,0,0,0,0,0,88,78,4,0,5,1,2,0,3,6,2,0,0,0,3,0,3,0,0,0,0,0,12,10,0,0
"96",17778,"France","Midfielder","-DMC-ML-",175,70,"Blaise","Matuidi",1987-04-08 19:00:00,4,"DM(C),M(L)","Defensive Midfielder (Center) / Midfielder (Left)","Blaise Matuidi",27,1,0,0,1,0,0,0,0,36,29,0,0,2,0,4,0,0,3,0,0,0,0,2,7,2,0,0,1,3,0,1,0,1,1
"206",18208,"Argentina","Goalkeeper","-GK-",194,87,"Mariano","Andujar",1983-07-29 19:00:00,22,"GK","Goalkeeper","Mariano Andujar",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",18413,"Algeria","Midfielder","-MC-",176,74,"Mehdi","Lacen",1984-03-14 19:00:00,17,"M(C)","Midfielder (Center)","Mehdi Lacen",30,1,0,0,0,0,0,0,0,38,29,1,0,3,3,1,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,1,0,1,0
"87",18572,"Greece","Midfielder","-DMC-",189,84,"Alexandros","Tziolis",1985-02-12 19:00:00,18,"DM(C)","Defensive Midfielder (Center)","Alexandros Tziolis",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",19087,"Netherlands","Midfielder","-MC-MR-",174,70,"Jonathan","de Guzmán",1987-09-12 19:00:00,16,"M(CR)","Midfielder (Center, Right)","Jonathan de Guzmán",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",19155,"Belgium","Midfielder","-DMC-",173,64,"Steven","Defour",1988-04-14 19:00:00,20,"DM(C)","Defensive Midfielder (Center)","Steven Defour",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
"22",19270,"Netherlands","Goalkeeper","-GK-",183,84,"Michel","Vorm",1983-10-19 19:00:00,22,"GK","Goalkeeper","Michel Vorm",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",19452,"Greece","Forward","-AMC-AML-AMR-",183,77,"Lazaros","Christodoulopoulos",1986-12-18 19:00:00,5,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Lazaros Christodoulopoulos",27,1,0,0,0,0,0,0,0,37,36,0,3,1,0,0,0,0,0,5,1,0,0,0,7,2,2,2,1,7,0,1,1,0,0
"94",19471,"France","Defender","-DC-DR-",176,72,"Bacary","Sagna",1983-02-13 19:00:00,2,"D(CR)","Defender (Center, Right)","Bacary Sagna",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
