"TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"Germany","Defensa","-DL-DMC-DR-",170,66,"Philipp","Lahm",1983-11-10 19:00:00,4,"D(LR),DM(C)","Defender (Left, Right) / Defensive Midfielder (Center)","Philipp Lahm",30,5,0,0,1,0,0,0,2,426,390,1,0,12,5,2,3,15,4,3,1,5,0,7,3,6,0,3,5,2,1,25,22,4,0
"Brazil","Defensa","-DC-DR-",173,64,"Daniel","Alves da Silva",1983-05-05 19:00:00,4,"D(CR)","Defender (Center, Right)","Dani Alves",31,4,0,0,1,0,0,0,0,219,184,4,3,17,9,4,0,12,6,5,1,0,0,4,6,6,0,1,3,13,2,23,15,3,2
"Argentina","Defensa","-DC-DMC-",184,80,"Martín","Demichelis",1980-12-19 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Martín Demichelis",33,1,0,0,1,0,0,0,0,63,59,3,0,3,8,2,1,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"Germany","Delantero","-AMC-AML-FW-",182,83,"Lukas","Podolski",1985-06-03 19:00:00,17,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Lukas Podolski",29,1,1,1,0,0,0,0,0,33,29,1,0,4,1,0,0,0,0,2,0,0,0,0,0,1,1,2,1,2,0,1,0,0,0
"Germany","Defensa","-DC-",198,90,"Per","Mertesacker",1984-09-28 19:00:00,8,"D(C)","Defender (Center)","Per Mertesacker",29,4,1,0,0,0,0,0,0,317,296,13,4,2,5,3,6,33,2,1,1,2,0,0,0,3,0,0,1,0,0,15,10,0,0
"Brazil","Defensa","-DC-",188,87,"Dante Bonfim","Costa Santos",1983-10-17 19:00:00,20,"D(C)","Defender (Center)","Dante",30,1,0,0,1,0,0,0,0,53,47,0,2,0,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,8,4,0,0
"Argentina","Defensa","-DC-DMC-",174,74,"Javier","Mascherano",1984-06-07 19:00:00,4,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Javier Mascherano",30,5,0,0,0,0,0,0,0,465,421,8,4,25,12,6,0,2,8,4,2,4,0,6,1,12,0,2,0,2,0,70,61,1,0
"Netherlands","Mediocampo","-AMC-AML-AMR-FW-",184,77,"Dirk","Kuyt",1980-07-21 19:00:00,9,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Dirk Kuyt",33,3,0,1,0,0,0,0,0,173,128,4,6,6,7,3,0,12,4,2,0,0,0,3,4,0,0,2,3,9,1,20,11,0,0
"Brazil","Defensa","-DR-",184,77,"Maicon Douglas","Sisenando",1981-07-25 19:00:00,18,"D(R)","Defender (Right)","Maicon",32,1,0,0,0,0,0,0,0,29,26,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0
"Netherlands","Delantero","-AMR-FW-",186,78,"Klaas-Jan","Huntelaar",1983-08-11 19:00:00,17,"AM(R),FW","Attacking Midfielder (Right) / Forward","Klaas-Jan Huntelaar",30,0,2,0,1,0,0,1,1,15,14,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0
"Argentina","Delantero","-AMC-AMR-FW-",169,67,"Lionel","Messi",1987-06-23 19:00:00,1,"AM(CR),FW","Attacking Midfielder (Center, Right) / Forward","Lionel Messi",27,5,0,1,0,0,0,4,1,228,187,0,3,8,2,2,0,0,2,17,7,0,0,20,34,14,3,16,5,26,8,10,7,4,3
"Germany","Arquero","-GK-",193,92,"Manuel","Neuer",1986-03-26 19:00:00,7,"GK","Goalkeeper","Manuel Neuer",28,5,0,0,0,0,0,0,0,120,98,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,52,30,0,0
"Germany","Mediocampo","-AMC-AML-AMR-",183,76,"Mesut","Özil",1988-10-14 19:00:00,6,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Mesut Özil",25,5,0,2,0,0,0,1,1,270,237,1,0,5,0,2,0,0,5,8,4,0,0,14,11,6,2,12,9,7,3,8,5,4,2
"Germany","Mediocampo","-DMC-",189,85,"Sami","Khedira",1987-04-03 18:00:00,11,"DM(C)","Defensive Midfielder (Center)","Sami Khedira",27,3,1,2,0,0,0,1,1,192,166,3,4,2,2,4,0,4,5,4,2,0,0,5,3,6,0,2,1,1,1,8,4,0,0
"Argentina","Defensa","-DC-",185,80,"Ezequiel","Garay",1986-10-09 19:00:00,6,"D(C)","Defender (Center)","Ezequiel Garay",27,5,0,0,1,0,0,0,0,256,243,15,3,6,7,6,4,47,0,7,1,1,0,2,0,2,0,0,0,0,0,27,20,0,0
"Netherlands","Defensa","-DC-",189,80,"Ron","Vlaar",1985-02-15 19:00:00,3,"D(C)","Defender (Center)","Ron Vlaar",29,5,0,0,0,0,0,0,0,194,174,12,2,12,13,4,5,47,4,2,0,3,0,0,1,1,0,0,0,0,0,55,43,0,0
"Brazil","Arquero","-GK-",186,80,"Julio Cesar","Soares De Espindola",1979-09-02 19:00:00,15,"GK","Goalkeeper","Julio César",34,5,0,0,0,0,0,0,0,73,51,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,0,0
"Argentina","Defensa","-DL-DR-",174,74,"Pablo","Zabaleta",1985-01-15 19:00:00,8,"D(LR)","Defender (Left, Right)","Pablo Zabaleta",29,5,0,0,0,0,0,0,0,221,185,4,5,13,9,6,2,14,4,1,0,3,0,2,1,4,0,4,4,9,2,16,8,0,0
"Argentina","Delantero","-AMC-AML-FW-",173,70,"Sergio","Agüero",1988-06-01 19:00:00,19,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Sergio Agüero",26,3,1,3,0,0,0,0,0,45,29,2,6,2,1,2,0,1,4,6,1,0,0,1,0,3,1,4,6,5,0,1,0,0,0
"Argentina","Delantero","-AMC-AML-AMR-FW-",175,66,"Rodrigo","Palacio",1982-02-04 19:00:00,18,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Rodrigo Palacio",32,0,3,0,0,0,0,0,0,24,12,1,2,0,0,2,0,3,2,4,2,0,0,0,3,0,0,1,5,3,0,0,0,0,0
"Brazil","Delantero","-FW-",185,75,"Frederico","Chaves Guedes",1983-10-02 19:00:00,8,"FW","Forward","Fred",30,5,0,3,0,0,0,1,0,82,54,6,8,1,0,2,0,4,1,11,5,0,0,3,0,4,4,3,6,1,0,3,3,2,1
"Netherlands","Defensa","-DR-",178,72,"Paul","Verhaegh",1983-08-31 19:00:00,22,"D(R)","Defender (Right)","Paul Verhaegh",30,1,0,1,0,0,0,0,0,28,25,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Brazil","Delantero","-FW-",191,78,"João Alves","de Assis Silva",1987-03-19 19:00:00,16,"FW","Forward","Jô",27,0,2,0,1,0,0,0,0,20,8,8,5,0,0,1,0,1,0,4,0,1,0,0,0,2,1,0,2,1,0,0,0,0,0
"Argentina","Delantero","-AMC-AML-AMR-FW-",173,75,"Ezequiel","Lavezzi",1985-05-02 19:00:00,13,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Ezequiel Lavezzi",29,2,2,2,0,0,0,0,1,80,62,2,2,1,0,2,0,0,2,4,2,0,0,5,7,8,1,6,4,21,3,2,2,0,0
"Brazil","Delantero","-AML-AMR-FW-",180,85,"Givanildo","Vieira de Souza",1986-07-24 19:00:00,9,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Hulk",27,4,0,3,1,0,0,0,0,64,41,3,0,2,4,4,1,0,6,10,3,0,0,4,10,9,1,6,12,12,3,5,2,0,0
"Brazil","Mediocampo","-MC-",180,76,"Anderson Hernanes","de Carvalho Andrade Lima",1985-05-28 19:00:00,13,"M(C)","Midfielder (Center)","Hernanes",29,0,1,0,0,0,0,0,0,8,6,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,2,0,1,0,1,0,0,0
"Argentina","Mediocampo","-DMC-",178,73,"Fernando","Gago",1986-04-09 18:00:00,11,"DM(C)","Defensive Midfielder (Center)","Fernando Gago",28,3,1,1,0,0,0,0,0,335,306,6,3,11,4,4,0,4,11,2,0,0,0,9,1,7,0,0,4,2,0,31,26,1,1
"Argentina","Arquero","-GK-",194,87,"Mariano","Andujar",1983-07-29 19:00:00,23,"GK","Goalkeeper","Mariano Andujar",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands","Mediocampo","-MC-MR-",174,70,"Jonathan","de Guzmán",1987-09-12 19:00:00,15,"M(CR)","Midfielder (Center, Right)","Jonathan de Guzmán",26,2,0,2,1,0,0,0,1,54,47,4,1,0,3,3,0,0,1,0,0,0,0,2,2,0,0,3,3,2,1,6,5,0,0
"Brazil","Mediocampo","-DMC-",179,67,"Fernando","Luiz Rosa",1985-05-03 19:00:00,11,"DM(C)","Defensive Midfielder (Center)","Fernandinho",29,2,1,2,0,0,0,1,0,56,48,1,0,5,1,8,0,1,2,2,1,1,0,1,1,3,0,1,0,1,0,4,3,0,0
"Netherlands","Arquero","-GK-",183,84,"Michel","Vorm",1983-10-19 19:00:00,23,"GK","Goalkeeper","Michel Vorm",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Delantero","-AMR-FW-",184,79,"Gonzalo","Higuaín",1987-12-09 19:00:00,16,"AM(R),FW","Attacking Midfielder (Right) / Forward","Gonzalo Higuaín",26,4,1,3,0,0,0,0,1,96,83,2,11,1,1,3,0,4,6,10,3,0,0,6,1,3,1,7,9,2,0,3,2,1,1
"Argentina","Defensa",NA,188,78,"José","Basanta",1984-04-02 18:00:00,10,"D","Defender","José Basanta",30,0,1,0,0,0,0,0,0,8,8,0,0,2,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Brazil","Defensa","-DL-MC-ML-",174,75,"Marcelo Vieira","Da Silva Junior",1988-05-11 19:00:00,7,"D(L),M(CL)","Defender (Left) / Midfielder (Center, Left)","Marcelo",26,5,0,0,0,0,0,0,2,258,213,2,9,14,9,4,0,6,4,6,0,1,1,8,11,10,0,0,3,11,1,24,11,2,1
"Germany","Defensa","-DC-DMC-",192,90,"Mats","Hummels",1988-12-15 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Mats Hummels",25,4,0,2,0,0,0,1,0,195,168,9,6,10,5,3,2,16,1,1,1,1,0,0,3,1,0,1,1,1,0,14,7,2,1
"Argentina","Mediocampo","-MC-",177,71,"Enzo","Pérez",1986-02-21 19:00:00,14,"M(C)","Midfielder (Center)","Enzo Pérez",28,1,0,1,0,0,0,0,0,47,42,0,2,0,0,0,0,0,1,0,0,0,0,1,3,2,1,4,1,1,1,2,1,1,0
"Argentina","Mediocampo","-DMC-",178,63,"Lucas","Biglia",1986-01-29 19:00:00,17,"DM(C)","Defensive Midfielder (Center)","Lucas Biglia",28,1,4,0,0,0,0,0,0,82,73,0,2,5,3,1,0,0,4,0,0,0,0,1,0,2,0,0,1,0,0,5,5,0,0
"Netherlands","Arquero","-GK-",188,74,"Tim","Krul",1988-04-02 18:00:00,21,"GK","Goalkeeper","Tim Krul",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Mediocampo","-AMC-AML-AMR-",180,70,"Ángel","Di María",1988-02-13 19:00:00,2,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Ángel Di María",26,4,0,1,1,0,0,1,0,234,180,0,0,7,0,3,0,2,8,21,9,0,0,11,23,9,0,12,13,47,14,24,16,3,1
"Germany","Defensa","-DC-DL-DR-",192,90,"Jerome","Boateng",1988-09-02 19:00:00,9,"D(CLR)","Defender (Center, Left, Right)","Jerome Boateng",25,5,0,1,0,0,0,0,0,265,224,2,1,10,3,4,1,17,3,1,0,4,0,2,0,3,0,1,1,11,3,33,20,0,0
"Germany","Defensa","-DC-DL-DR-",187,80,"Benedikt","Höwedes",1988-02-28 19:00:00,5,"D(CLR)","Defender (Center, Left, Right)","Benedikt Höwedes",26,5,0,0,1,0,0,0,1,205,171,15,7,6,4,7,2,20,4,3,1,3,0,1,1,6,1,4,4,1,0,5,0,1,0
"Argentina","Mediocampo","-AMC-AML-AMR-",177,71,"Augusto","Fernández",1986-04-09 18:00:00,22,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Augusto Fernández",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Arquero",NA,190,83,"Agustín","Orión",1981-07-25 19:00:00,21,"GK","Goalkeeper","Agustín Orión",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands","Delantero","-AML-AMR-FW-",178,80,"Jeremain","Lens",1987-11-23 19:00:00,19,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Jeremain Lens",26,1,2,1,0,0,0,0,0,15,11,2,5,1,1,9,0,0,1,3,1,0,0,1,1,5,0,1,4,1,0,2,1,0,0
"Brazil","Defensa","-DC-DMC-",189,86,"David","Luiz Moreira Marinho",1987-04-21 19:00:00,3,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","David Luiz",27,5,0,0,0,0,0,1,1,246,202,12,5,10,8,10,2,28,3,5,3,3,0,2,7,6,0,0,NA,3,2,70,45,2,1
"Brazil","Mediocampo","-MC-ML-MR-",180,70,"Ramires","Santos do Nascimento",1987-03-23 19:00:00,12,"M(CLR)","Midfielder (Center, Left, Right)","Ramires",27,1,4,1,1,0,0,0,1,59,48,5,2,5,2,7,0,2,0,5,1,0,0,4,1,3,1,0,2,2,0,4,3,1,1
"Brazil","Defensa","-DC-",183,79,"Thiago Emiliano","da Silva",1984-09-21 19:00:00,6,"D(C)","Defender (Center)","Thiago Silva",29,4,0,0,1,0,0,0,0,197,173,10,5,5,4,2,1,31,1,1,1,5,0,3,0,3,0,0,1,0,0,44,29,0,0
"Brazil","Mediocampo","-AMC-AML-AMR-",175,75,"Willian","Borges Da Silva",1988-08-08 19:00:00,14,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Willian",25,0,4,0,0,0,0,0,0,NA,34,0,1,1,0,1,0,1,0,3,1,0,0,6,1,1,0,1,3,4,0,4,4,1,1
"Germany","Defensa","-DR-MC-ML-MR-",186,72,"Kevin","Großkreutz",1988-07-18 19:00:00,20,"D(R),M(CLR)","Defender (Right) / Midfielder (Center, Left, Right)","Kevin Großkreutz",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany","Mediocampo","-MC-ML-MR-",182,78,"Toni","Kroos",1990-01-03 19:00:00,2,"M(CLR)","Midfielder (Center, Left, Right)","Toni Kroos",24,5,0,0,0,0,0,2,2,465,426,1,5,11,2,2,0,3,5,11,4,0,0,10,5,8,0,7,3,30,7,58,51,2,0
"Netherlands","Defensa","-DR-",185,80,"Daryl","Janmaat",1989-07-21 19:00:00,4,"D(R)","Defender (Right)","Daryl Janmaat",24,3,1,0,0,0,0,0,1,129,96,4,1,15,9,7,1,12,2,0,0,1,0,4,2,1,1,2,3,6,2,12,6,2,1
"Netherlands","Mediocampo","-AMC-",173,69,"Georginio","Wijnaldum",1990-11-10 19:00:00,14,"AM(C)","Attacking Midfielder (Center)","Georginio Wijnaldum",23,3,2,0,0,0,0,0,0,126,107,6,3,4,0,4,0,7,2,2,1,0,0,1,3,4,0,3,0,1,1,10,8,0,0
"Brazil","Arquero","-GK-",190,80,"Jefferson","de Oliveira Galvao",1983-01-01 19:00:00,21,"GK","Goalkeeper","Jefferson",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina","Arquero","-GK-",192,83,"Sergio","Romero",1987-02-21 19:00:00,12,"GK","Goalkeeper","Sergio Romero",27,5,0,0,0,0,0,0,0,60,42,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0
"Netherlands","Mediocampo","-MC-",188,79,"Leroy","Fer",1990-01-04 19:00:00,7,"M(C)","Midfielder (Center)","Leroy Fer",24,0,1,0,0,0,0,1,0,3,3,2,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Brazil","Mediocampo","-MC-",181,77,"José Paulo","Bezerra Maciel Júnior",1988-07-24 19:00:00,10,"M(C)","Midfielder (Center)","Paulinho",25,3,1,2,0,0,0,0,0,80,68,2,3,3,0,5,0,3,1,7,6,0,0,4,2,1,2,0,6,0,0,6,5,0,0
"Germany","Mediocampo","-AMC-AML-AMR-FW-",186,75,"Thomas","Müller",1989-09-12 19:00:00,1,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Thomas Müller",24,5,0,1,0,0,0,5,3,168,128,11,11,4,0,6,0,0,4,15,8,1,0,12,8,12,6,9,10,14,4,4,2,0,0
"Brazil","Arquero","-GK-",193,84,"Victor Leandro","Bagy",1983-01-20 19:00:00,23,"GK","Goalkeeper","Victor",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil","Defensa","-DC-DR-",187,84,"Henrique","Adriano Buss",1986-10-13 19:00:00,19,"D(CR)","Defender (Center, Right)","Henrique",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil","Mediocampo","-AMC-AML-AMR-",179,67,"Oscar","dos Santos Emboaba Junior",1991-09-08 19:00:00,2,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Oscar",22,5,0,2,0,0,0,2,2,175,134,5,1,21,6,5,0,5,8,10,6,0,0,6,9,8,2,8,9,25,4,18,14,3,2
"Argentina","Mediocampo","-AMC-AML-AMR-",188,73,"Ricardo","Álvarez",1988-04-11 19:00:00,20,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Ricardo Álvarez",26,0,1,0,0,0,0,0,0,11,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0
"Brazil","Mediocampo","-DC-DL-DMC-",187,80,"Luiz Gustavo","Dias",1987-07-22 19:00:00,5,"D(CL),DM(C)","Defender (Center, Left) / Defensive Midfielder (Center)","Luiz Gustavo",26,5,0,0,2,0,0,0,1,248,226,17,7,13,22,13,0,16,7,3,0,0,0,5,4,12,0,3,4,5,1,30,26,0,0
"Argentina","Defensa","-DC-",190,83,"Federico","Fernández",1989-02-20 19:00:00,7,"D(C)","Defender (Center)","Federico Fernández",25,4,0,0,0,0,0,0,0,207,185,9,2,8,6,4,2,27,3,2,1,4,0,0,0,7,0,0,1,0,0,20,17,0,0
"Brazil","Delantero","-AMC-AML-AMR-",174,64,"Neymar da Silva","Santos Júnior",1992-02-04 19:00:00,1,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Neymar",22,4,0,2,1,0,0,4,0,130,106,4,2,4,1,7,0,0,6,15,9,0,0,9,14,14,3,5,14,27,8,11,8,2,1
"Germany","Arquero","-GK-",188,83,"Ron-Robert","Zieler",1989-02-11 19:00:00,23,"GK","Goalkeeper","Ron-Robert Zieler",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands","Defensa","-DL-DMC-",180,72,"Daley","Blind",1990-03-08 19:00:00,5,"D(L),DM(C)","Defender (Left) / Defensive Midfielder (Center)","Daley Blind",24,5,0,0,1,0,0,0,3,237,208,4,1,21,7,9,2,11,11,2,0,0,0,6,1,4,0,1,4,5,1,37,29,2,2
"Argentina","Defensa","-DC-",187,80,"Marcos","Rojo",1990-03-19 19:00:00,5,"D(C)","Defender (Center)","Marcos Rojo",24,5,0,1,2,0,0,1,0,214,179,9,4,17,12,6,0,17,3,8,2,1,0,7,3,6,0,3,5,25,3,7,2,0,0
"Germany","Mediocampo","-AMC-AML-AMR-FW-",183,72,"André","Schürrle",1990-11-05 19:00:00,14,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","André Schürrle",23,0,4,0,0,0,0,3,0,60,48,1,1,3,1,3,0,2,1,10,6,0,0,1,1,0,2,1,1,6,0,2,2,2,1
"Germany","Mediocampo","-AMC-AML-AMR-FW-",176,64,"Mario","Götze",1992-06-02 19:00:00,13,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Mario Götze",22,3,1,2,0,0,0,1,0,112,95,2,3,8,2,4,0,1,2,7,4,0,0,2,4,5,0,6,2,2,1,2,2,1,1
"Germany","Defensa","-DC-DR-",184,73,"Shkodran","Mustafi",1992-04-16 19:00:00,15,"D(CR)","Defender (Center, Right)","Shkodran Mustafi",22,1,2,1,0,0,0,0,0,61,53,5,2,1,0,1,1,4,0,1,1,0,0,2,0,0,1,0,0,4,1,3,3,0,0
"Netherlands","Defensa","-DC-",189,78,"Stefan","de Vrij",1992-02-04 19:00:00,2,"D(C)","Defender (Center)","Stefan de Vrij",22,5,0,1,1,0,0,1,0,255,224,10,2,17,16,6,1,31,4,5,2,2,0,1,2,2,1,2,0,0,0,44,28,0,0
"Netherlands","Mediocampo","-MC-",169,66,"Jordy","Clasie",1991-06-26 19:00:00,18,"M(C)","Midfielder (Center)","Jordy Clasie",23,0,1,0,0,0,0,0,0,48,41,1,0,1,0,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,6,5,0,0
"Netherlands","Defensa","-DC-DL-",187,76,"Bruno","Martins Indi",1992-02-07 19:00:00,16,"D(CL)","Defender (Center, Left)","Bruno Martins Indi",22,3,1,2,1,0,0,0,0,157,138,0,3,7,3,8,4,6,6,0,0,1,0,1,0,3,0,1,2,2,0,29,18,0,0
"Netherlands","Arquero","-GK-",187,82,"Jasper","Cillessen",1989-04-21 19:00:00,12,"GK","Goalkeeper","Jasper Cillessen",25,5,0,0,0,0,0,0,0,98,57,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,65,25,0,0
"Germany","Mediocampo","-AMC-AML-",185,74,"Julian","Draxler",1993-09-19 19:00:00,16,"AM(CL)","Attacking Midfielder (Center, Left)","Julian Draxler",20,0,1,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1
"Brazil","Mediocampo",NA,166,57,"Bernard","Anício Caldeira Duarte",1992-09-07 19:00:00,17,"M","Midfielder","Bernard",21,1,2,0,0,0,0,0,0,58,51,1,2,1,1,2,0,2,3,1,0,0,0,3,2,2,0,1,5,11,2,3,2,1,1
"Germany","Mediocampo","-MC-",189,82,"Christoph","Kramer",1991-02-18 19:00:00,18,"M(C)","Midfielder (Center)","Christoph Kramer",23,0,1,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Netherlands","Defensa","-DC-DL-",183,70,"Terence","Kongolo",1994-02-13 19:00:00,20,"D(CL)","Defender (Center, Left)","Terence Kongolo",20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
